Power
t(s)	P(W)
 8.642578125e-010	0
 8.740234375e-010	0
 8.837890625e-010	0
 8.935546875e-010	0
 9.033203125e-010	0
 9.130859375e-010	0
 9.228515625e-010	0
 9.326171875e-010	0
 9.423828125e-010	0
 9.521484375e-010	0
 9.619140625e-010	0
 9.716796875e-010	0
 9.814453125e-010	0
 9.912109375e-010	0
 1.000976562e-009	0
 1.010742188e-009	0
 1.020507812e-009	0
 1.030273438e-009	0
 1.040039063e-009	0
 1.049804688e-009	0
 1.059570313e-009	0
 1.069335938e-009	0
 1.079101563e-009	0
 1.088867188e-009	0
 1.098632813e-009	0
 1.108398437e-009	0
 1.118164063e-009	0
 1.127929688e-009	0
 1.137695313e-009	0
 1.147460938e-009	0
 1.157226563e-009	0
 1.166992188e-009	0
 1.176757813e-009	0
 1.186523438e-009	0
 1.196289063e-009	0
 1.206054688e-009	0
 1.215820312e-009	0
 1.225585938e-009	0
 1.235351563e-009	0
 1.245117188e-009	0
 1.254882813e-009	0
 1.264648438e-009	0
 1.274414063e-009	0
 1.284179688e-009	0
 1.293945313e-009	0
 1.303710937e-009	0
 1.313476563e-009	0
 1.323242187e-009	0
 1.333007813e-009	0
 1.342773438e-009	0
 1.352539063e-009	0
 1.362304688e-009	0
 1.372070313e-009	0
 1.381835938e-009	0
 1.391601563e-009	0
 1.401367188e-009	0
 1.411132812e-009	0
 1.420898438e-009	0
 1.430664063e-009	0
 1.440429688e-009	0
 1.450195313e-009	0
 1.459960938e-009	0
 1.469726563e-009	0
 1.479492188e-009	0
 1.489257813e-009	0
 1.499023438e-009	0
 1.508789063e-009	0
 1.518554687e-009	0
 1.528320313e-009	0
 1.538085938e-009	0
 1.547851563e-009	0
 1.557617188e-009	0
 1.567382813e-009	0
 1.577148438e-009	0
 1.586914063e-009	0
 1.596679688e-009	0
 1.606445313e-009	0
 1.616210938e-009	0
 1.625976562e-009	0
 1.635742188e-009	0
 1.645507813e-009	0
 1.655273438e-009	0
 1.665039063e-009	0
 1.674804688e-009	0
 1.684570313e-009	0
 1.694335938e-009	0
 1.704101563e-009	0
 1.713867188e-009	0
 1.723632813e-009	0
 1.733398437e-009	0
 1.743164063e-009	0
 1.752929688e-009	0
 1.762695313e-009	0
 1.772460938e-009	0
 1.782226563e-009	0
 1.791992188e-009	0
 1.801757813e-009	0
 1.811523438e-009	0
 1.821289063e-009	0
 1.831054688e-009	0
 1.840820313e-009	0
 1.850585938e-009	0
 1.860351563e-009	0
 1.870117187e-009	0
 1.879882813e-009	0
 1.889648438e-009	0
 1.899414063e-009	0
 1.909179687e-009	0
 1.918945313e-009	0
 1.928710938e-009	0
 1.938476563e-009	0
 1.948242188e-009	0
 1.958007812e-009	0
 1.967773438e-009	0
 1.977539063e-009	0
 1.987304688e-009	0
 1.997070312e-009	0
 2.006835938e-009	0
 2.016601563e-009	0
 2.026367188e-009	0
 2.036132812e-009	0
 2.045898437e-009	0
 2.055664063e-009	0
 2.065429688e-009	0
 2.075195313e-009	0
 2.084960937e-009	0
 2.094726563e-009	0
 2.104492188e-009	0
 2.114257813e-009	0
 2.124023437e-009	0
 2.133789063e-009	0
 2.143554688e-009	0
 2.153320313e-009	0
 2.163085938e-009	0
 2.172851562e-009	0
 2.182617188e-009	0
 2.192382813e-009	0
 2.202148438e-009	0
 2.211914062e-009	0
 2.221679688e-009	0
 2.231445313e-009	0
 2.241210938e-009	0
 2.250976563e-009	0
 2.260742187e-009	0
 2.270507813e-009	0
 2.280273438e-009	0
 2.290039063e-009	0
 2.299804687e-009	0
 2.309570313e-009	0
 2.319335938e-009	0
 2.329101563e-009	0
 2.338867187e-009	0
 2.348632812e-009	0
 2.358398438e-009	0
 2.368164063e-009	0
 2.377929688e-009	0
 2.387695312e-009	0
 2.397460938e-009	0
 2.407226563e-009	0
 2.416992188e-009	0
 2.426757812e-009	0
 2.436523438e-009	0
 2.446289063e-009	0
 2.456054688e-009	0
 2.465820313e-009	0
 2.475585937e-009	0
 2.485351563e-009	0
 2.495117188e-009	0
 2.504882813e-009	0
 2.514648437e-009	0
 2.524414063e-009	0
 2.534179688e-009	0
 2.543945313e-009	0
 2.553710938e-009	0
 2.563476562e-009	0
 2.573242188e-009	0
 2.583007813e-009	0
 2.592773438e-009	0
 2.602539062e-009	0
 2.612304688e-009	0
 2.622070313e-009	0
 2.631835938e-009	0
 2.641601562e-009	0
 2.651367188e-009	0
 2.661132813e-009	0
 2.670898438e-009	0
 2.680664063e-009	0
 2.690429687e-009	0
 2.700195313e-009	0
 2.709960938e-009	0
 2.719726563e-009	0
 2.729492187e-009	0
 2.739257813e-009	0
 2.749023438e-009	0
 2.758789063e-009	0
 2.768554688e-009	0
 2.778320312e-009	0
 2.788085938e-009	0
 2.797851563e-009	0
 2.807617188e-009	0
 2.817382812e-009	0
 2.827148438e-009	0
 2.836914063e-009	0
 2.846679688e-009	0
 2.856445312e-009	0
 2.866210937e-009	0
 2.875976563e-009	0
 2.885742188e-009	0
 2.895507813e-009	0
 2.905273437e-009	0
 2.915039063e-009	0
 2.924804688e-009	0
 2.934570313e-009	0
 2.944335937e-009	0
 2.954101563e-009	0
 2.963867188e-009	0
 2.973632813e-009	0
 2.983398438e-009	0
 2.993164062e-009	0
 3.002929688e-009	0
 3.012695313e-009	0
 3.022460938e-009	0
 3.032226562e-009	0
 3.041992188e-009	0
 3.051757813e-009	0
 3.061523438e-009	0
 3.071289063e-009	0
 3.081054687e-009	0
 3.090820313e-009	0
 3.100585938e-009	0
 3.110351563e-009	0
 3.120117187e-009	0
 3.129882813e-009	0
 3.139648438e-009	0
 3.149414063e-009	0
 3.159179687e-009	0
 3.168945313e-009	0
 3.178710938e-009	0
 3.188476563e-009	0
 3.198242188e-009	0
 3.208007812e-009	0
 3.217773438e-009	0
 3.227539063e-009	0
 3.237304688e-009	0
 3.247070312e-009	0
 3.256835938e-009	0
 3.266601563e-009	0
 3.276367188e-009	0
 3.286132813e-009	0
 3.295898437e-009	0
 3.305664063e-009	0
 3.315429688e-009	0
 3.325195313e-009	0
 3.334960937e-009	0
 3.344726563e-009	0
 3.354492188e-009	0
 3.364257813e-009	0
 3.374023438e-009	0
 3.383789063e-009	0
 3.393554688e-009	0
 3.403320313e-009	0
 3.413085938e-009	0
 3.422851562e-009	0
 3.432617188e-009	0
 3.442382813e-009	0
 3.452148438e-009	0
 3.461914062e-009	0
 3.471679688e-009	0
 3.481445313e-009	0
 3.491210938e-009	0
 3.500976563e-009	0
 3.510742187e-009	0
 3.520507813e-009	0
 3.530273438e-009	0
 3.540039063e-009	0
 3.549804687e-009	0
 3.559570313e-009	0
 3.569335938e-009	0
 3.579101563e-009	0
 3.588867188e-009	0
 3.598632812e-009	0
 3.608398438e-009	0
 3.618164063e-009	0
 3.627929688e-009	0
 3.637695312e-009	0
 3.647460938e-009	0
 3.657226563e-009	0
 3.666992188e-009	0
 3.676757813e-009	0
 3.686523438e-009	0
 3.696289063e-009	0
 3.706054688e-009	0
 3.715820313e-009	0
 3.725585937e-009	0
 3.735351562e-009	0
 3.745117187e-009	0
 3.754882813e-009	0
 3.764648438e-009	0
 3.774414063e-009	0
 3.784179688e-009	0
